,abr_cd,abr_cdi,abr_nm,abr_c,abr_z,cd,ds,url
111,28657,2708303,SÃO JOSÉ DA LAJE,N,['0016'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28657-c0001-e000544-v.json
112,28673,2708402,SÃO JOSÉ DA TAPERA,N,['0051'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28673-c0001-e000544-v.json
113,28690,2708501,SÃO LUÍS DO QUITUNDE,N,['0017'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28690-c0001-e000544-v.json
114,28711,2708600,SÃO MIGUEL DOS CAMPOS,N,['0018'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28711-c0001-e000544-v.json
115,28738,2708709,SÃO MIGUEL DOS MILAGRES,N,['0012'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28738-c0001-e000544-v.json
116,28754,2708808,SÃO SEBASTIÃO,N,['0049'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28754-c0001-e000544-v.json
117,28797,2709004,TANQUE D&apos;ARCA,N,['0048'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28797-c0001-e000544-v.json
118,28819,2709103,TAQUARANA,N,['0045'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28819-c0001-e000544-v.json
119,28932,2709152,TEOTÔNIO VILELA,N,['0034'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28932-c0001-e000544-v.json
120,28835,2709202,TRAIPU,N,['0020'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28835-c0001-e000544-v.json
121,28851,2709301,UNIÃO DOS PALMARES,N,['0021'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28851-c0001-e000544-v.json
122,28878,2709400,VIÇOSA,N,['0005'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28878-c0001-e000544-v.json
123,27014,2700102,ÁGUA BRANCA,N,['0039'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al27014-c0001-e000544-v.json
124,06017,1600105,AMAPÁ,N,['0001'],ap,AMAPÁ,https://resultados.tse.jus.br/oficial/ele2022/544/dados/ap/ap06017-c0001-e000544-v.json
125,06033,1600204,CALÇOENE,N,['0001'],ap,AMAPÁ,https://resultados.tse.jus.br/oficial/ele2022/544/dados/ap/ap06033-c0001-e000544-v.json
126,06068,1600212,CUTIAS,N,['0010'],ap,AMAPÁ,https://resultados.tse.jus.br/oficial/ele2022/544/dados/ap/ap06068-c0001-e000544-v.json
127,06114,1600238,FERREIRA GOMES,N,['0012'],ap,AMAPÁ,https://resultados.tse.jus.br/oficial/ele2022/544/dados/ap/ap06114-c0001-e000544-v.json
128,06041,1600253,ITAUBAL,N,['0010'],ap,AMAPÁ,https://resultados.tse.jus.br/oficial/ele2022/544/dados/ap/ap06041-c0001-e000544-v.json
